songID,songname,singer,xiami_songname,xiami_singer,xiami_songID,songName,songType,singerID,singer.1,leftChannel,rightChannel,volume,firstLetter,languageCode,hot,clickTime,firstLetterLength,songScore,languageIntl,videoType,addDate,clickNum,label
7038318,海市蜃楼,蔡依林,海市蜃楼,A.R. Rahman,2075416,海市蜃楼,经典老歌,101369,"蔡依林,港台女歌星",2,1,6,HSSL,0,7.0,7,4.0,1,国语,MV,2016-10-13,7,电影原声 蔡淳佳 标签是什么 天地英雄 国语 坐在车上我就这样失神了
7038335,割心,张宇,割心,张宇,377648,割心,经典老歌,114677,"张宇,港台男歌星",1,2,6,GX,0,6.0,6,2.0,1,国语,演唱会,2016-10-13,6,原曲 男人的歌 翻唱 粤语 越听越有味道 好听
7039045,握你的手,光良,握你的手,光良,29645,握你的手,经典老歌,103734,"光良,港台男歌星",1,2,6,WNDS,0,3.0,3,4.0,1,国语,演唱会,2016-10-13,3,好声音 惋惜 哀伤 淡淡的伤感 台湾 深情
7039308,我爱你,王杰,我爱你,王杰,381072,我爱你,经典老歌,110804,"王杰,港台男歌星",1,2,6,WAN,0,6.0,6,3.0,1,国语,演唱会,2016-10-13,6,第一次听 的歌曲 经典 玫瑰一
7039604,世界,陈奕迅,世界,陈奕迅,2067260,世界,经典老歌,102141,"陈奕迅,港台男歌星",2,1,6,SJ,0,8.0,8,2.0,1,国语,MV,2016-10-13,8,eason  好听 超级好听~  EASOn专辑
7041237,不是不想,胡彦斌,不是不想,胡彦斌,31390,不是不想,经典老歌,104559,"胡彦斌,大陆男歌星",1,2,6,BSBX,0,1.0,1,4.0,1,国语,演唱会,2016-10-13,1,
7041466,永远的朋友,张惠妹 孙楠,永远的朋友,孙楠,1769218031,永远的朋友,"经典老歌,男女对唱",114212;110023,"张惠妹,港台女歌星,孙楠,大陆男歌星",1,2,6,YYDPY,0,7.0,7,5.0,1,国语,演唱会,2016-10-13,7,A-Mei 好歌  徐誉滕
7041941,朝前走,黑豹乐队,放心走吧 (Live),黑豹,387746,朝前走,经典老歌,104302,"黑豹乐队,中国组合",1,2,6,CQZ,0,10.0,10,3.0,1,国语,演唱会,2016-10-13,10,music radio
7042576,Love Is Gone,David Guetta,Love Is Gone,Various Artists,1769201714,Love Is Gone,异国风情,300731,"David Guetta,欧美歌星",2,1,7,LIG,0,3.0,3,3.0,1,英语,MV,2016-10-13,3,
7042816,我是一只鱼,侯湘婷,我是一只鱼,侯湘婷,2078896,我是一只鱼,经典老歌,104439,"侯湘婷,港台女歌星",1,2,6,WSYZY,0,12.0,12,5.0,1,国语,演唱会,2016-10-13,12,清新  夏天 流行 经典 华语 舒服
7042879,中箭,古巨基,中箭,古巨基,26913,中箭,经典老歌,103624,"古巨基,港台男歌星",1,2,6,ZJ,0,7.0,7,2.0,1,国语,演唱会,2016-10-13,7,Is 鍾愛的作品而已 Love 爱
7043491,从此我该怎么过,阿龙正罡,从此我该怎么过,阿龙正罡,2111817,从此我该怎么过,经典老歌,100800,"阿龙正罡,大陆男歌星",1,2,6,CCWGZMG,0,4.0,4,7.0,1,国语,演唱会,2016-10-13,4,
7046161,每一次,解晓东,每一次,原声带,1771584697,每一次,经典老歌,105336,"解晓东,大陆男歌星",2,1,6,MYC,0,5.0,5,3.0,1,国语,MV,2016-10-13,5,渴望
7046766,女儿歌,彭丽媛,女儿歌,彭丽媛,1770200361,女儿歌,"经典老歌,民歌传唱",108847,"彭丽媛,大陆女歌星",1,2,6,NEG,0,5.0,5,3.0,1,国语,演唱会,2016-10-13,5,
7046840,东来东往,东来东往,东来东往,东来东往,9435,东来东往,经典老歌,102772,"东来东往,大陆男歌星",1,2,6,DLDW,0,3.0,3,4.0,1,国语,演唱会,2016-10-13,3,M.T
7048550,一个人,刘德华,一个人,刘德华,374742,一个人,经典老歌,107210,"刘德华,港台男歌星",2,1,7,YGR,0,6.0,6,3.0,1,国语,MV,2016-10-13,6,andy music radio
7048747,最怕,张学友,最怕,张学友,377478,最怕,经典老歌,114593,"张学友,港台男歌星",2,1,6,ZP,0,10.0,10,2.0,1,国语,MV,2016-10-13,10,流行 香港 男声 华语 & 我的張學友 Jacky
7048767,指尖的星光,钟汶,指尖的星光,钟汶,170152,指尖的星光,经典老歌,115211,"钟汶,港台女歌星",2,1,7,ZJDXG,0,6.0,6,5.0,1,国语,MV,2016-10-13,6,国语歌 rare K 女声 狗血 普通话
7048782,喜欢原谅别人,游鸿明,喜欢原谅别人,游鸿明,68050,喜欢原谅别人,经典老歌,113659,"游鸿明,港台男歌星",2,1,7,XHYLBR,0,6.0,6,6.0,1,国语,MV,2016-10-13,6,
7048880,大城市,李琛,大城市,李琛,15485,大城市,经典老歌,105942,"李琛,大陆男歌星",2,1,7,DCS,0,4.0,4,3.0,1,国语,MV,2016-10-13,4,
7104608,我不是刘德华,肖军,如果你是我的传说,刘德华,395633,我不是刘德华,网络歌曲,111924,"肖军,大陆男歌星",2,1,7,WBSLD,0,10.0,10,5.0,1,国语,MV,2016-10-13,10,
7105327,一个人的情歌,容祖儿,一个人的情歌,容祖儿,140444,一个人的情歌,甜蜜幸福,109311,"容祖儿,港台女歌星",2,1,6,YGRDQG,0,3.0,3,6.0,1,国语,MV,2016-10-13,3,安静 治愈 安静 好听 11 周世晖 summe 安静　纯净
7106757,不要说黎明,郑智化,不要说黎明,郑智化,384075,不要说黎明,甜蜜幸福,115129,"郑智化,港台男歌星",1,2,6,BYSLM,0,4.0,4,5.0,1,国语,演唱会,2016-10-13,4,怀旧 经典 老歌 好听 电台推荐
7110168,疯狂,芭比BOB,,,0,疯狂,经典老歌,101031,"芭比BOB,中国组合",2,1,7,FK,0,6.0,6,2.0,1,国语,MV,2016-10-13,6,
7110744,除了你还有谁值得让我为她而流泪,兰雨,除了你还有谁值得让我为她而流泪,兰雨,1771216421,除了你还有谁值得让我为她而流泪,网络歌曲,105704,"兰雨,大陆男歌星",2,1,6,CLNHYSZDWWTELL,0,2.0,2,14.0,1,国语,MV,2016-10-13,2,
7114495,士兵小唱,刘小娜,中国,华语群星,1801833236,士兵小唱,军旅歌曲,107485,"刘小娜,大陆女歌星",1,2,7,SBXC,0,5.0,5,4.0,1,国语,演唱会,2016-10-13,5,悦耳 中国梦 2018
7115559,啊我的太阳,李双江,啊我的太阳,李双江,1773596232,啊我的太阳,"经典老歌,民歌传唱",106332,"李双江,大陆男歌星",1,2,7,AWDTY,0,4.0,4,5.0,1,国语,演唱会,2016-10-13,4,
7116215,迫在眉梢,许美静,迫在眉梢,许美静,154332,迫在眉梢,经典老歌,112664,"许美静,港台女歌星",2,1,7,PZMS,0,4.0,4,4.0,1,国语,MV,2016-10-13,4,女声 Pop 国语 经典 流行 狗血
7131910,姑娘,曹格,姑娘,曹格,2540,姑娘,经典老歌,101410,"曹格,港台男歌星",1,2,6,GN,0,7.0,7,2.0,1,国语,演唱会,2016-10-13,7,花开 清新 季节 经典 聆听 中国风
7200765,我把太阳迎进祖国(专业版),阎维文,我把太阳迎进祖国,阎维文,1771020203,我把太阳迎进祖国(专业版),经典老歌,112877,"阎维文,大陆男歌星",1,2,6,WBTYYJZG,0,3.0,3,8.0,1,国语,演唱会,2016-10-13,3,
7201304,看见你们还是格外亲,于文华,看见你们还是格外亲,于文华,160822,看见你们还是格外亲,经典老歌,113724,"于文华,大陆女歌星",1,2,6,KJNMHSGWQ,0,4.0,4,9.0,1,国语,演唱会,2016-10-13,4,
